,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,amontada,-3.36,-39.83,96.4,28,0,9.1,BR,1602599117
1,barrow,71.29,-156.79,26.6,53,90,12.75,US,1602599060
2,tautira,-17.73,-149.15,73.4,64,20,2.24,PF,1602599119
3,qaanaaq,77.48,-69.36,22.8,83,0,7.31,GL,1602599120
4,muscat,23.61,58.59,86.0,35,0,2.24,OM,1602598888
5,cabo san lucas,22.89,-109.91,71.6,78,90,4.7,MX,1602599008
6,atuona,-9.8,-139.03,77.56,75,21,17.85,PF,1602599124
7,tuktoyaktuk,69.45,-133.04,21.2,85,75,11.41,CA,1602599125
8,punta arenas,-53.15,-70.92,46.4,70,75,25.28,CL,1602599036
9,vaini,-21.2,-175.2,71.6,73,75,10.29,TO,1602599127
10,bonavista,48.65,-53.11,48.0,72,28,5.99,CA,1602599128
11,ushuaia,-54.8,-68.3,48.2,29,40,14.99,AR,1602599009
12,hobart,-42.88,147.33,44.6,81,75,1.12,AU,1602599009
13,tandalti,13.02,31.87,97.93,20,79,0.96,SD,1602599132
14,kavieng,-2.57,150.8,82.42,80,100,10.94,PG,1602599133
15,labuhan,-6.88,112.21,83.08,71,53,8.88,ID,1602599135
16,arraial do cabo,-22.97,-42.03,82.4,61,7,23.04,BR,1602599038
17,nishihara,26.18,127.76,77.0,78,20,5.82,JP,1602599137
18,carnarvon,-24.87,113.63,69.8,88,0,13.87,AU,1602599010
19,togur,58.36,82.83,36.39,95,94,1.14,RU,1602599139
20,dunboyne,53.4,-6.47,52.0,76,40,12.75,IE,1602599140
21,pacific grove,36.62,-121.92,55.4,66,1,4.14,US,1602599056
22,thompson,55.74,-97.86,33.8,98,90,18.34,CA,1602599143
23,mar del plata,-38.0,-57.56,64.4,68,0,6.93,AR,1602598982
24,ribeira grande,38.52,-28.7,71.6,73,40,24.16,PT,1602599011
25,cherskiy,68.75,161.3,28.18,87,100,12.93,RU,1602599146
26,rikitea,-23.12,-134.97,72.61,74,0,15.19,PF,1602599148
27,pangody,65.85,74.49,39.45,87,100,18.52,RU,1602599149
28,ontario,34.06,-117.65,73.4,34,1,1.88,US,1602599059
29,usogorsk,63.41,48.69,47.57,88,100,8.19,RU,1602599151
30,kapaa,22.08,-159.32,80.6,78,40,11.41,US,1602599152
31,hamilton,39.18,-84.53,55.99,81,1,1.7,US,1602598963
32,ambilobe,-13.2,49.05,82.62,60,75,3.4,MG,1602599155
33,ilulissat,69.22,-51.1,41.0,65,75,4.7,GL,1602599156
34,port hardy,50.7,-127.42,44.6,87,90,36.91,CA,1602599157
35,mayumba,-3.43,10.66,77.83,79,43,11.54,GA,1602599158
36,saint-georges,12.06,-61.75,87.8,70,20,13.87,GD,1602599159
37,sulina,45.16,29.65,70.0,82,41,17.65,RO,1602599161
38,lagoa,39.05,-27.98,69.04,73,95,13.65,PT,1602599162
39,fairbanks,64.84,-147.72,26.6,53,90,3.6,US,1602599139
40,hilo,19.73,-155.09,73.4,78,90,11.41,US,1602599013
41,mahebourg,-20.41,57.7,77.0,78,40,11.41,MU,1602599165
42,acari,-15.43,-74.62,72.32,53,67,6.22,PE,1602599166
43,vostok,46.49,135.88,29.93,92,62,5.88,RU,1602599168
44,albany,42.6,-73.97,52.0,90,100,2.8,US,1602599014
45,longyearbyen,78.22,15.64,33.8,69,75,1.12,SJ,1602599170
46,zeya,53.75,127.27,25.43,87,69,7.78,RU,1602599171
