,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,joensuu,62.6,29.76,37.0,88,75,6.93,FI,1602806136
1,ushuaia,-54.8,-68.3,39.2,86,75,28.86,AR,1602806137
2,yellowknife,62.46,-114.35,27.0,63,90,21.92,CA,1602806139
3,aykhal,66.0,111.5,15.8,85,90,6.71,RU,1602806140
4,albany,42.6,-73.97,68.0,75,8,3.0,US,1602805843
5,butaritari,3.07,172.79,82.4,74,49,11.21,KI,1602806142
6,busselton,-33.65,115.33,61.0,50,100,9.51,AU,1602806144
7,bandarbeyla,9.49,50.81,80.08,77,33,22.55,SO,1602806145
8,mataura,-46.19,168.86,60.01,52,100,15.99,NZ,1602806146
9,kruglolesskoye,44.66,42.81,50.0,81,0,2.24,RU,1602806147
10,nouadhibou,20.93,-17.03,80.6,54,0,13.87,MR,1602806148
11,klaksvik,62.23,-6.59,42.8,81,72,2.24,FO,1602806150
12,atuona,-9.8,-139.03,78.84,75,3,18.92,PF,1602806151
13,san carlos de bariloche,-41.15,-71.31,64.4,25,40,5.82,AR,1602805900
14,sept-iles,50.2,-66.38,45.0,93,75,11.41,CA,1602806153
15,jamestown,42.1,-79.24,48.0,93,90,9.17,US,1602806154
16,isangel,-19.55,169.27,77.47,67,98,5.46,VU,1602806155
17,port alfred,-33.59,26.89,62.08,81,53,6.85,ZA,1602806157
18,rikitea,-23.12,-134.97,74.44,75,95,16.4,PF,1602806158
19,ilulissat,69.22,-51.1,35.6,59,100,2.24,GL,1602806159
20,hermanus,-34.42,19.23,57.0,87,96,5.01,ZA,1602806160
21,victoria,22.29,114.16,80.01,71,71,3.0,HK,1602806045
22,chokurdakh,70.63,147.92,29.68,99,100,9.8,RU,1602806162
23,lagoa,39.05,-27.98,68.88,84,89,12.5,PT,1602806163
24,verkhnyaya inta,65.98,60.31,29.84,93,100,6.17,RU,1602806165
25,provideniya,64.38,-173.3,42.8,87,90,13.42,RU,1602806166
26,brandon,27.94,-82.29,84.0,78,1,2.46,US,1602806167
27,new norfolk,-42.78,147.06,52.0,66,32,1.99,AU,1602806168
28,esperance,-33.87,121.9,57.2,100,75,10.29,AU,1602806169
29,narsaq,60.92,-46.05,37.4,59,100,3.36,GL,1602806171
30,namibe,-15.2,12.15,69.4,75,74,4.5,AO,1602806172
31,cape town,-33.93,18.42,61.0,67,81,16.11,ZA,1602806041
32,longyearbyen,78.22,15.64,26.6,86,75,2.24,SJ,1602806104
33,punta arenas,-53.15,-70.92,48.2,61,75,25.28,CL,1602805929
34,airai,-8.93,125.41,74.48,47,94,1.41,TL,1602806176
35,dunedin,-45.87,170.5,48.0,74,69,11.9,NZ,1602806178
36,kaitangata,-46.28,169.85,55.0,41,93,5.01,NZ,1602806179
37,tasiilaq,65.61,-37.64,41.0,93,100,4.7,GL,1602806180
38,palmer,42.16,-72.33,62.6,59,20,8.05,US,1602806181
39,craig,40.52,-107.55,53.6,14,1,11.41,US,1602806182
40,keuruu,62.27,24.7,35.6,93,75,6.93,FI,1602806184
41,east london,-33.02,27.91,64.51,78,44,11.86,ZA,1602806185
42,san felipe,10.34,-68.74,74.01,92,43,1.14,VE,1602806186
43,vestmannaeyjar,63.44,-20.27,47.77,78,57,7.56,IS,1602806187
44,cherskiy,68.75,161.3,34.65,86,99,3.67,RU,1602806188
45,pandan,14.05,124.17,82.65,77,96,3.85,PH,1602806190
46,ciudad guayana,8.35,-62.65,84.0,73,50,1.99,VE,1602806191
47,tiksi,71.69,128.87,22.57,98,96,2.73,RU,1602806192
48,lavrentiya,65.58,-171.0,38.16,93,100,19.44,RU,1602806193
49,cabo san lucas,22.89,-109.91,88.0,70,5,18.34,MX,1602806054
50,vostok,46.49,135.88,34.2,78,0,9.44,RU,1602806195
51,khilok,51.37,110.47,31.6,88,93,5.7,RU,1602806197
52,los llanos de aridane,28.66,-17.92,73.4,73,90,5.82,ES,1602806198
53,saint anthony,45.02,-93.22,48.2,42,75,11.41,US,1602806199
54,san quintin,30.48,-115.95,80.74,39,0,9.42,MX,1602806200
55,kaeo,-35.1,173.78,63.0,63,36,8.99,NZ,1602806201
56,raton,36.9,-104.44,57.2,22,1,20.8,US,1602806073
57,khatanga,71.97,102.5,4.8,94,91,8.48,RU,1602806203
58,bluff,-46.6,168.33,60.01,52,100,15.99,NZ,1602806205
59,meulaboh,4.14,96.13,76.82,83,100,3.04,ID,1602806206
60,mar del plata,-38.0,-57.56,54.0,100,75,6.93,AR,1602806040
61,port hardy,50.7,-127.42,48.2,93,90,14.99,CA,1602806208
62,pacific grove,36.62,-121.92,87.8,26,1,3.36,US,1602805914
63,bredasdorp,-34.53,20.04,50.0,93,99,3.36,ZA,1602806211
64,torbay,47.67,-52.73,57.99,100,90,6.93,CA,1602806212
65,kapaa,22.08,-159.32,84.0,74,90,16.11,US,1602806213
66,bardiyah,31.76,25.09,71.02,72,0,10.85,LY,1602806214
67,medea,36.26,2.75,57.2,76,4,4.7,DZ,1602806215
68,coihaique,-45.58,-72.07,59.0,47,75,2.24,CL,1602806217
69,faanui,-16.48,-151.75,79.9,76,38,10.02,PF,1602806218
70,vaini,-21.2,-175.2,77.0,83,75,10.29,TO,1602806219
71,mayor pablo lagerenza,-19.93,-60.77,70.47,72,18,6.62,PY,1602806220
72,mahebourg,-20.41,57.7,73.4,88,40,4.92,MU,1602806221
73,kiama,-34.68,150.87,63.0,92,100,11.83,AU,1602806222
74,salalah,17.02,54.09,77.0,73,40,5.82,OM,1602806224
75,jacksonville,30.33,-81.66,79.0,78,75,8.05,US,1602806103
76,ituverava,-20.34,-47.78,72.45,75,44,4.74,BR,1602806226
77,sayyan,15.17,44.32,51.82,39,0,3.58,YE,1602806227
78,petropavlovsk-kamchatskiy,53.05,158.65,44.6,56,2,2.24,RU,1602806228
79,luderitz,-26.65,15.16,67.6,42,0,13.18,NA,1602806230
80,sao joao da barra,-21.64,-41.05,72.39,84,80,15.12,BR,1602806231
81,quixada,-4.97,-39.02,76.3,81,34,9.53,BR,1602806232
82,tashtagol,52.77,87.89,41.47,70,100,5.32,RU,1602806233
83,arraial do cabo,-22.97,-42.03,71.53,90,76,11.43,BR,1602806234
84,bilma,18.69,12.92,81.95,18,0,0.92,NE,1602806235
85,nanortalik,60.14,-45.24,40.03,70,100,3.58,GL,1602806237
86,port augusta,-32.5,137.77,78.01,88,75,9.17,AU,1602806238
87,chuy,-33.7,-53.46,58.15,92,35,7.0,UY,1602806239
88,cabo rojo,18.09,-67.15,80.01,96,83,4.92,PR,1602806240
89,codrington,-38.27,141.97,53.47,70,1,13.94,AU,1602806241
90,puerto ayora,-0.74,-90.35,71.01,88,81,4.0,EC,1602806242
91,kirkenes,69.73,30.05,35.6,91,100,26.4,NO,1602806243
92,segezha,63.74,34.32,33.51,93,17,11.5,RU,1602806245
93,mitsamiouli,-11.38,43.28,77.32,75,37,2.19,KM,1602806246
94,ignatovka,53.95,47.65,49.03,72,0,8.93,RU,1602806247
95,port-gentil,-0.72,8.78,78.8,83,90,10.29,GA,1602806248
96,teseney,15.11,36.66,82.36,36,0,5.91,ER,1602806249
97,zarubino,42.63,131.09,47.55,63,14,6.31,RU,1602806251
98,gravdal,68.12,13.5,44.71,78,100,12.55,NO,1602806252
99,roald,62.58,6.13,46.4,81,89,4.7,NO,1602806253
100,paamiut,61.99,-49.67,40.23,71,100,14.58,GL,1602806254
101,grand gaube,-20.01,57.66,73.0,76,0,1.99,MU,1602806255
102,mount gambier,-37.83,140.77,53.6,58,3,19.46,AU,1602806256
103,laguna,38.42,-121.42,93.99,11,1,9.17,US,1602806102
104,baie-comeau,49.22,-68.15,48.2,76,90,8.05,CA,1602806259
105,rundu,-17.93,19.77,71.71,46,70,2.82,NA,1602806260
106,gladstone,-23.85,151.25,77.0,47,40,14.99,AU,1602806261
107,beira,-19.84,34.84,68.81,84,0,1.41,MZ,1602806262
108,panguna,-6.32,155.48,79.86,76,68,2.71,PG,1602806263
109,tibati,6.47,12.63,65.75,94,65,1.7,CM,1602806264
110,qaanaaq,77.48,-69.36,25.57,83,61,4.94,GL,1602806266
111,dudinka,69.41,86.18,23.0,92,75,17.9,RU,1602806267
112,henties bay,-22.12,14.28,59.0,93,17,1.99,NA,1602806268
113,gigmoto,13.78,124.39,82.51,75,91,3.06,PH,1602806269
114,viransehir,37.24,39.76,70.14,31,0,9.1,TR,1602806270
115,hobart,-42.88,147.33,52.0,49,75,5.82,AU,1602806101
116,jos,9.92,8.9,67.8,75,27,3.74,NG,1602806273
117,tiarei,-17.53,-149.33,78.8,69,75,16.11,PF,1602806274
118,tindwari,25.62,80.53,79.59,68,0,5.35,IN,1602806275
119,saint george,37.1,-113.58,82.99,14,1,6.93,US,1602806266
120,goderich,43.75,-81.72,51.01,84,100,17.78,CA,1602806277
121,vuktyl,63.86,57.31,29.93,98,100,8.79,RU,1602806278
122,lorengau,-2.02,147.27,84.94,64,83,5.28,PG,1602806280
123,kropotkin,45.44,40.58,62.47,63,42,3.85,RU,1602806281
124,gillette,44.29,-105.5,42.8,45,90,17.22,US,1602806282
125,constitucion,-35.33,-72.42,56.84,79,2,6.8,CL,1602806283
126,yakeshi,49.28,120.73,30.61,92,0,12.73,CN,1602806284
127,avarua,-21.21,-159.78,75.2,53,100,4.7,CK,1602806286
128,lebu,-37.62,-73.65,51.31,76,30,11.83,CL,1602806287
129,asau,46.43,26.4,46.99,94,3,4.59,RO,1602806288
130,bilibino,68.05,166.44,29.77,94,100,4.43,RU,1602806289
131,berlevag,70.86,29.09,36.48,85,100,19.69,NO,1602806290
132,castro,-24.79,-50.01,61.02,95,98,10.07,BR,1602806217
133,jinchang,38.5,102.17,39.11,66,0,5.03,CN,1602806292
134,yarada,17.65,83.27,80.6,100,90,2.24,IN,1602806294
135,kualakapuas,-3.01,114.39,78.8,94,100,6.93,ID,1602806295
136,prince rupert,54.32,-130.32,44.6,93,90,3.36,CA,1602806296
137,lompoc,34.64,-120.46,82.4,37,1,10.29,US,1602806297
138,formosa,-26.18,-58.18,75.2,88,75,5.82,AR,1602806298
139,port macquarie,-31.43,152.92,86.0,32,30,1.99,AU,1602806299
140,saint-philippe,-21.36,55.77,69.8,60,16,5.82,RE,1602806301
141,deep river,46.1,-77.5,52.0,76,75,8.05,CA,1602806302
142,atar,20.52,-13.05,88.97,23,27,7.61,MR,1602806303
143,batsfjord,70.63,29.72,35.65,86,100,18.25,NO,1602806304
144,labuhan,-6.88,112.21,81.48,74,99,10.25,ID,1602806305
145,koslan,63.46,48.9,31.14,93,100,5.08,RU,1602806307
146,ponta do sol,32.67,-17.1,68.0,72,75,6.93,PT,1602806308
147,luanda,-8.84,13.23,77.0,78,75,6.93,AO,1602806111
148,bulgan,48.81,103.53,33.53,74,58,5.97,MN,1602806310
149,norman wells,65.28,-126.83,21.2,67,20,11.41,CA,1602806311
150,banyumas,-7.51,109.29,64.0,83,100,1.72,ID,1602806312
151,aiquile,-18.2,-65.18,62.04,73,97,6.6,BO,1602806313
152,marawi,8.0,124.29,80.01,83,99,1.01,PH,1602806315
153,asfi,32.3,-9.24,62.47,76,51,9.35,MA,1602806137
154,ilhabela,-23.78,-45.36,68.97,82,100,5.75,BR,1602806317
155,mikhaylovka,50.06,43.24,53.2,66,65,2.91,RU,1602806318
156,magdagachi,53.45,125.8,28.8,89,8,6.13,RU,1602806319
157,kieta,-6.22,155.63,84.45,68,40,3.71,PG,1602806320
158,jacareacanga,-6.22,-57.75,79.56,64,28,3.29,BR,1602806322
159,loncoche,-39.37,-72.63,64.4,63,68,5.82,CL,1602806323
160,tremedal,-14.98,-41.41,76.73,42,0,3.91,BR,1602806324
161,verkhniye kigi,55.41,58.6,49.84,54,100,13.44,RU,1602806325
162,odienne,9.51,-7.57,71.51,92,68,2.24,CI,1602806326
163,san cristobal,7.77,-72.22,86.0,58,40,5.82,VE,1602806307
164,abha,18.22,42.51,57.2,15,0,9.57,SA,1602806328
165,port-cartier,50.03,-66.87,45.0,93,75,11.41,CA,1602806330
166,teguise,29.06,-13.56,71.6,73,20,10.29,ES,1602806331
167,carroll,39.55,-77.02,66.99,82,3,10.58,US,1602806332
168,halifax,44.65,-63.57,54.0,93,20,5.82,CA,1602806236
169,ostrovnoy,68.05,39.51,36.7,81,100,13.71,RU,1602806334
170,komsomolskiy,40.43,71.72,48.2,76,0,6.93,UZ,1602806336
171,sitka,57.05,-135.33,50.0,61,90,11.41,US,1602806100
172,souillac,-20.52,57.52,73.4,88,40,3.62,MU,1602806338
173,anshun,26.25,105.93,53.46,91,100,13.0,CN,1602806339
174,bengkulu,-3.8,102.27,77.59,81,81,3.71,ID,1602806191
175,yar-sale,66.83,70.83,30.49,93,99,9.6,RU,1602806341
176,ocos,14.51,-92.19,75.2,100,75,2.84,GT,1602806343
